note_id,last modification time,tags,Front,Front_alt,Back,Part of Speech,Sound,Sound Example Sentence,Image,Note,Sanskrit,Question,Spelling Hint
1683648163676,1702724714,LRZTP LRZTP_01 LRZTP_Colloquial_Lesson_1 LRZTP_Module_1,བདེ་པོ་ཨོ་ཙམ་,,"not too bad, alright",adj,[sound:181185674_180326_0321_52.mp3],,"""<img alt=""""Accredited vs. Sophisticated Investors…What Does It Mean? | BluSky Equity Partners, LLC"""" src=""""paste-add82794e378aca69994ab7b25769bed10e8f569.jpg"""">""",,,,
1683648200343,1702724695,LRZTP LRZTP_Colloquial_Misc,གལ་གནང་གི་མ་རེད་,,No problem. It's OK.&nbsp;,p,,,"""<img src=""""paste-cbef7ec1fd0afee62672b48c06dfee4712d78ed3.jpg"""">""",,,,
1683648255635,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁྱེད་རང་གི་མཚན་ལ་ག་རེ་ཞུ་གི་ཡོད།<br>ངའི་མིང་ (ལ་) ་་་་་ཟེར་གི་ཡོད་,,What is your name?<br>My name is ... ?,p,,,,,,,
1683648316874,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁེད་རང་ལུང་པ་ག་ནས་ཡིན།<br>ང་ ... ནས་ཡིན་,,Where are you from?<br>I am from ...,p,,,,,,,
1683648329873,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁེད་རང་ཕ་ཡུལ་ག་ནས་ཡིན་,,Where are you from?,p,,,,,,,
1683648456776,1702724695,LRZTP LRZTP_Colloquial_Misc,དཔེ་མཛོད་ཁང་,,library,n,[sound:དཔེ་་མཛོད་ཁང་།.mp3],,"""<a><img alt=""""3,000+ Best Library Photos · 100% Free Download · Pexels Stock Photos"""" src=""""paste-45d6dfed962347f03bdb85dafb322305375ad47e.jpg"""">""",ཁེད་རང་གི་འཛིན་གྲྭ་དཔེ་མཛོད་ལ་ཡོད་རེད་པས།,,,
1683648494529,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,སློབ་གྲྭ་,,school,n,[sound:180878393_180323_0654_47.mp3],,"""<img alt=""""Schools in Australia - Living in Australia - Moving to Australia - Pomsinoz Forum"""" src=""""paste-20c7eb5a40c7aec13061d553563ecf327ee49d7f.jpg"""">""",ང་སློབ་གྲྭ་ལ་ཡོད།,,,
1683648528575,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,སློབ་ཕྲུག་,,student,n,[sound:180878400_180323_0655_50.mp3],,,ང་སློབ་ཕྲུག་ཡིན།,,,
1683648585222,1702724695,LRZTP LRZTP_Colloquial_Misc,འཛིན་གྲྭ་གཅིག་པ་,,classmates,n,[sound:འཛིན་གྲྭ་གཅིག་པ།.mp3],"""<span style=""""color: rgb(2, 2, 2);"""">[sound:ངའི་འཛིན་གྲྭ་གཅིག་པ་དེ་ཚོ་ཡག་པོ་འདུག.mp3]</span><span style=""""color: rgb(2, 2, 2);"""">[sound:ངའི་འཛིན་གྲྭ་གཅིག་པ་ལ་རོགས་པ་བྱེད་རོགས.mp3]</span>""","""<img src=""""འཛིན་གྲྭ་གཅིག་པ།.jpg"""">""","""ངའི་འཛིན་གྲྭ་གཅིག་པ་དེ་ཚོ་ཡག་པོ་འདུག<br>My classmates are good / nice.<br><span style=""""color: rgb(2, 2, 2);"""">ངའི་འཛིན་གྲྭ་གཅིག་པ་ལ་རོགས་པ་བྱེད་རོགས་གནང་།<br></span><span style=""""color: rgb(2, 2, 2);"""">Please help my classmates!</span>""",,,
1683648622749,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,སློབ་མ་,,disciple (of a lama),n,[sound:180878402_180323_0656_11.mp3],,"""<img alt=""""Eight Great Disciples of the Buddha | EVERYDAY BUDDHIST"""" src=""""paste-933db210fa813cfd2b7909232e2d38e1468ef19f.jpg"""">""",རིན་པོ་ཆེ་ལ་སློབ་མ་མང་པོ་ཡོད་རེད།,,,
