front,back,part_of_speech
གད་པ་,"cleaner, sweeper",n
གམ་དུ་,"beside, near // འགྲམ་ལ་, འཁྲིས་ལ་",prep
ཕྲད་,"(v) meetparticle, grammatical particle","v, n"
ཨ་མྲ་,mango,n
རྒྱུག་ཆུ་,"creek, stream",n
གོང་,"(1) above (སྟེང། ཐོག)(2) previous, before (སྔོན། ཐོག་མ།) // སྒང་","adj, adv"
ལྕགས་,metal,n
འགྱུར་ཆོག་ཆོག་,"unstable, changing",adj
"བློ་འཛིང་བྱེད་པ་, བློ་ལ་འཛིན་པ་, ངག་ཐོག་འཛིན་པ་, ངག་ལ་འཛིན་པ་",to memorize,v
གོམ་པ་,step (as in walking),n
"ཀླུ།, ཀླུ་མོ་",Naga,n
ཝ་མོ་,fox,n
བྲག་ཕུག,"mountain cave, cave in stone, [rock hole]",n
ལྡན་པ་,possess,adj
ཐྲིག་ཐྲིག,"sound of shoes, creaking of shoes",n
ཧྲིལ་པོ་,"whole, entire",adj
དྲིལ་བུ་,bell,n
སྲུང་བ་,(v) protect,v
ཕྱེ་མ་ལེབ་,butterfly,n
བྱིས་པ་,child (mostly written),n
ཀླད་པ་,brain,n
མྱ་ངན་,suffering // སྡུག་བསྔལ།,n
ཀྱོག་ཀྱོག་,"winding, crooked, curved",adj
ཕྱག་ཕེབས་གནང་བྱུང་་,Welcome!,p
སྙན་པོ་,"interesting, pleasant to hear, good",adj
ཁྱབ་པ་,"(v) spread, cover, permeate",v
རྣག་ཁྲག,pus and blood,n
རླུན་པ་,"moist, wet",adj
ལོག་ཡིག་དྲུག་,6 reveresed letters,n
སྔགས་,"mantra, tantra",n
བསོད་ནམས་ཆེན་པོ་,"fortunate, good fortunte (from virtue more than ""luck"")",adj
དག་ཆ་,spelling,n
ཕུག་,cave,n
བློ་,"mind (intelligence, thinking mind)",n
བརྩོན་འགྲུས་ཆེན་པོ་,"diligent, hard working, joyous effort",adj
པགས་པ་,"skin, hide, bark, rind // ལྤགས་པ།",n
ནོར་བུ་,jewel,n
ཁྱིམ་,house,n
ལྡེ་མིག་,key,n
གད་སྙིགས་,trash,n
མྱོང་བ་,"experience, to experience","v, n"
ཕྲེང་བ་,"rosary, garland",n
ཉ་པ་,fisher man or woman,n
འདྲེས་,"mixed, merged",adj
ལྕེ་ལེབ་,tongue,n
རིས་,division,n
ལས་དང་པོ་བ་,beginner,n
སྲིད་པ་,"(1) power, possible, to be possible(2) existence, cyclic existence","v, n"
རླུང་་,wind; wind (element – vāyu); wind (vital energy – prāṇa),n
ཁྲིམས་,"law, rule",n
མདའ་,arrow,n
སྤུ་,fur (animal),n
གྱང་,wall,n
གང་ཐུབ་ཐུབ་,do one's best,adv
སྣ་ཁྲག,nose bleed,n
སྔ་དྲོ་བདེ་ལེགས་,Good morning!,p
ག་ལེ་ཕེབས་,Good bye! (leaving),p
ག་ལེ་བཞུགས་,Good bye! (staying),p
བོད་སྐད་,Tibetan language,n
བདེ་པོ་ཨོ་ཙམ་,"not too bad, alright",adj
བཀྲ་ཤིས་བདེ་ལེགས་,Hello!,p
ཉིན་གུང་བདེ་ལེགས་,Good afternoon!,p
དགོང་དྲོ་བདེ་ལེགས་,Good evening!,p
ཐུགས་རྗེ་ཆེ་,Thank you!,p
རྗེས་ལ་མཇལ་ཡོང་,See you later!,p
སང་ཉིན་མཇལ་ཡོང་,See you tomorrow,p
བདེ་པོ་,"well, healthy, comfortable",adj
བོད་,Tibet,n
དབྱིན་ཇིའི་ལུང་པ་,England // དབྱིན་ཡུལ་,n
དབྱིན་ཇིའི་སྐད་,English language,n
མཇལ་བ་,"to meet, to encounter (H)",v
དགའ་བ་,"to be happy, pleased",v
ཐུག་པ་,"to meet, to encounter",v
ཤེས་པ་,"to know, to be skilled at",v
མཁྱེན་པ་,"to know, to be knowledgeable (H)",v
གཟུགས་པོ་,body,n
ཕྱག་ཕེབས་གནང་,Welcome,p
གཟིམ་འཇགས་གནང་གོ་,"Good night!, Sleep well!",p
ཕྱི་རྒྱལ་,"abroad, foreign country",n
བལ་ཡུལ་,Nepal,n
སྐུ་གཟུགས་,body (H),n
བསླབ་པ་,to teach,v
ལས་སླ་པོ་,easy,adj
ཡག་པོ་,"good, well",adj
པར་,picture,n
སློབ་ཕྲུག་,student,n
རྒན་ལགས་,teacher (H),n
ཕྱག་དེབ་,book (H),n
དཔེ་ཆ་,religious book,n
འཛིན་གྲྭ་,class,n
སློབ་གྲྭ་,school,n
འབྲི་བ་,"to write, to note down",v
འཛུལ་བ་,"to enter, to enroll",v
ཡིག་ཚད་,exam,n
སློབ་ཁང་,classroom,n
བཤད་གྲྭ་,monastic and debate school,n
གློག་ཀླད་,computer,n
ཡིག་རྒྱུགས་,quiz,n
བརྩོན་འགྲུས་ཆེན་པོ་,"diligent, hard working",adj
སྦྱོང་དེབ་,exercise book,n
སྨྱུ་གུ་,pen,n
སློབ་གྲྭ་ཆེན་མོ་,"university, college",n
སྒེའུ་ཁུང་,window,n
ཀློག་པ་,to read (aloud),v
སྒོ་,"door, gate",n
སློབ་མ་,disciple (of a lama),n
རྐུབ་བཀྱག་,chair,n
སློབ་སྦྱོང་བྱེད་པ་,to study,v
སྐུ་པར་,picture (H),n
ཉན་པ་,to listen,v
རི་མོ་འབྲི་བ་,"to paint, to make a drawing",v
བློ་འཛིན་བྱེད་པ་,to memorize,v
སྐྱིད་པོ་,"nice, pleasant, happy",adj
མཐོ་རིམ་སློབ་གྲྭ་,college,n
ཡང་ལ་,candle,n
ནང་སྦྱོང་,homework,n
གདན་,"rug, cushion",n
དཀར་པང་,whiteboard,n
གསར་པ་,new,adj
སྙན་པོ་,"interesting, nice to hear",adj
ཕྱག་སྨྱུག་,pen (H),n
སློབ་ཚན་,lesson,n
ཐོན་པ་,"to leave, to graduate",v
སློབ་དེབ་,"textbook, manual",n
སློབ་སྦྱོང་,studies,n
ལས་ཁུངས་,office,n
འཛིན་གྲ་གཅིག་པ་,classmate,n
ནག་པང་,blackboard,n
དཀའ་ལས་ཁག་པོ་,"difficult, hard, tough",adj
ཅོག་ཙེ་,table,n
སྦྱང་བ་,to learn (any skill),v
རང་སྦྱོང་,self-study,n
སློབ་ཚན་,lesson,n
བུ་མོ་,"girl, daughter",n
ལྷ་ཁང་,temple,n
བྱས་ན་,"so, then, this being so",prep
སྐུ་འདྲ་,statue,n
ག་པར་ག་པར་,Not at all! No way! (lit. Where? where?),p
ནག་པོ་,black,"n, adj"
གཙང་པོ་,"river, stream",n
སེམས་ཅན་,"animal (col.), sentient being (lit.)",n
བུ་,"boy, son",n
ཆུ་,"water, river, stream",n
མཐོ་པོ་,high,adj
རྩ་ཆེན་པོ་,"sacred, holy, precious",adj
ག་རེ་,what?,int
གང་འདྲས་,how?,int
གཅིག་པ་,"same, identical, not different",adj
དགོན་པ་,monastery,n
མཆོད་རྟེན་,stupa,n
རླུང་རྟ་,"wind horse, prayer flags",n
དམར་པོ་,red,"n, adj"
སེར་པོ་,yellow,"n, adj"
གོ་བ་,to hear,v
སྔོན་པོ་,blue,"n, adj"
དཀར་པོ་,white,"n, adj"
གླིང་ག་,"park, garden, green area",n
ཤིང་ནགས་,"forest, jungle",n
ཤིང་སྡོང་,tree,n
བ་ཕྱུགས་,cow,n
མ་གཏོགས་,"only, except","adv, adj"
ཁུ་སིམ་པོ་,"quiet, without noise",adj
གྲོང་གསེབ་,village,n
རྙིང་པ་,old (things),adj
གྲོང་ཁྱེར་,"city, town",n
རྒྱ་ཆེན་པོ་,"vast, open, spacious, broad",adj
སྤང་,"meadow, grassy plain",n
མཛེས་པོ་,"beautiful, pretty",adj
ལྗང་ཁུ་,green,"n, adj"
སྒོ་ཟོག་,domestic animals,n
མཐོང་བ་,to see,v
མཚོ་གླིང་,island,n
འབྲོག་པ་,nomad,n
མཚོ་,lake,n
པར་རྒྱག་པ་,to take pictures,v
སྐད་གྲགས་ཆེན་པོ་,"famous, well known",adj
ལྟ་བ་,"to look at, to read, to watch",v
འབབ་ཆུ་,waterfall,n
ར་,goat,n
མཛོ་,dzo,n
གུར་,tent,n
དུད་འགྲོ་,animal (lit.),n
གཡག་,yak,n
མི་,"person, people",n
མེ་ཏོག་,flower,n
རྒྱ་མཚོ་,"ocean, sea",n
པར་ཆས་,camera,n
ཡུལ་ལྗོངས་,landscape,n
དཔེར་ན་,for example,p
མིང་,name,n
