front,back,part_of_speech
རླུང་རྟ་མཐོ་པོ་,lucky,adj
མཆོད་རྟེན་,stupa,n
སྔོན་འགྲོ་བསགས་པ་,to do the preliminaries practices,v
ཚེས་བཟང་དུས་བཟང་་,"auspicious day, festival",n
པད་མ་བཟང་པོ་,the lotus (4),n
ཞབས་རྗེས་,footprint (H),n
སྨོན་ལམ་རྒྱག་པ་,"to make aspiration prayers, to   pray  (ཐ་དད་པ་)",v
དར་ལྕོག་བཙུགས་པ་,to hang [long] prayer flags,v
དུས་ཆེན་,"festival, holy day, celebration",n
ཝ་ར་ན་སི་,"Varanasi, Sarnath, first teaching (first turning of the wheel)",n
ཞབས་བརྟན་,"service, ritual, puja",n
ལོ་གསར་ཚེས་པ་དང་པོ་,first day of the New Year,n
གྲོད་ཁོག་ཆེན་པོ་,big stomach,n
ཉི་མ་,sun,n
རིག་གཞུང་,"custom, tradition",n
ཏག་སེ་རྒྱག་པ་,to play cards // ཏག་སེ་རྩེད་པ་,v
འགྲོ་སོང་གཏོང་བ་,to spend money,v
སྐྱིད་པོ་བྱེད་པ་,"to enjoy oneself, to have fun",v
ཞབས་བྲོ་འཁྲབ་པ་,to dance,v
དགའ་སྣང་ཆེན་པོ་,happily,adv
རིགས་སྣ་ཚོགས་,of various kinds,adj
ལོ་གསར་ཤོག་བྱང་,New Year's greeting card,n
རྐུ་མ,thief // རྐུན་པོ་,n
མཚན་གང་,"the whole night, all night long",adv
རྩམ་པ་གཏོར་བ་,to throw tsampa (as an offering),v
འབག་,mask,n
དགུ་གཏོར་,puja where tormas are offered on the 29th day of the 12th Tibetan month,n
འབྲས་སིལ་,sweet rice with wild sweet potato (གྲོ་མ་),n
མཆོད་གཤོམ་,house shrine,n
རྟེན་འབྲེལ་,"auspiciousness, good connection",n
རླུང་རྟ་,prayer flag,n
ཁ་ཟས་,fried pastry,n
བོང་བུའི་ཨ་མཆོག་,"donkey ears (Losar snack, special type of ཁ་ཟས་)",n
དགུ་ཐུག་,"the soup with nine ingredients, drunk on the 29th day of the month",n
བར་ཆད་སེལ་བ་,to dispel obstacles,v
ཨ་ལོང་,earring,n
འཆམ་,"monastic ritual dances, monk dance, masked dances",n
བླ་མ་མཇལ་བ་,to visit a lama,v
ཆང་སྐོལ་,"chang, boiled rice beer",n
ལོ་གསར་གཏོང་བ་,to celebrate Losar (Tibetan New Year),v
ལུགས་སྲོལ་,"customs, traditions",n
བསོད་བདེ་ཆེན་པོ་,"fortunate, having good merit (~luck)",adj
ཉིན་གང་,"the whole day, all day long",adv
བལ་,wool,n
བོད་པའི་ལོ་གསར་,Tibetan New Year,n
བོད་གཞས་,Tibetan songs,n
ཤེས་ཡོན་,"education, knowledge",n
སེར་སྣ་ལངས་པ་,"to give rise to stinginess, miserliness (syn: སེར་སྣ་བྱེད་པ་)   (ཐ་མི་དད་པ་)",v
བཀའ་དྲིན་ཆེན་པོ་,"having great kindness, someone towards whom we are grateful",adj
ཆོག་ཤེས་ཡོད་པ་,"contented, someone who is content // ཆོག་ཤེས་དང་ལྡན་པ་",adj
བློ་ཁོག་ཆེན་པོ་,"brave, courageous",adj
སེར་སྣ་ཚ་པོ་,"stingy, miserly",adj
འཇམ་པོ་,"gentle, soft, relaxed",adj
རྣམ་རྟོག་ཚ་པོ་,"(1) superstitious, (2) with lots of discursive thoughts་",adj
ཕན་ཐོགས་ཆེན་པོ་,beneficial,adj
བྲེལ་བ་ཚ་པོ་,"busy, very busy",adj
མགོ་མཁྲེགས་པོ་,stubborn,adj
འཚེ་བ་བྱེད་པ་,"to be violent, to harm",v
སྤྱོད་པ་འཚེ་བ་མེད་པ་,non-violent conduct,n
ཡར་རྒྱས་འགྲོ་བ་,to improve,v
ཡི་དྭགས་,hungry ghost,n
ཁ་ཡོད་ལག་ཡོད་,"practical, applicable",adj
སྡུག་ག་ཅིག་ལ་,unfortunately,adv
ཁ་སངས་པོ་,"talkative, easy to talk to, friendly, easy to relate to",adj
རླུང་ལངས་པ་,to get angry // ཁོང་ཁྲོ་ལངས་པ། ཁོང་ཁྲོ་ཟ་བ། འཚིག་པ་ཟ་བ། ཞེ་སྡང་ལངས་པ།,v
ནོར་འཁྲུལ་,"mistake, error",n
བརྟན་པོ་,"firm, stable, good",adj
ངང་རྒྱུད་རིང་པོ་,"tolerant, patient, having a forbearing nature, of good character // བཟོད་སྒོམ་ཆེན་པོ་",adj
བརྩོན་འགྲུས་ཆེན་པོ་,"diligent, persevering, rejoicing in virtue",adj
ཇུས་གཏོགས་ཚ་པོ་,"interfering, meddle, someone who likes to interfere",adj
ཕྲག་དོག་ཚ་པོ་,"jealous, having envy",adj
རྩ་བ་བརླགས་པ་,to lose the root,v
བསླབ་བྱ་རྒྱག་པ་,to give advice,v
སྐུགས་པ་,"dumb, stupid, fool",adj
ཆ་ནས་,"regarding, by the reason of",prep
དེའི་ཚབ་ལ་,instead of that,prep
དབྱིངས་ཆེན་པོ་,"greatly interested, very interesting",adj
སྙིང་རྗེ་ཆེན་པོ་,"compassionate, with lots of compassion",adj
གུས་ཞབས་བྱེད་པ་,"to be respectful, to venerate, show one's respect   (ཐདད་པ་)",v
འཁྲུག་པ་རྒྱག་པ་,"to argue, to fight   (ཐ་དད་པ་) (could be verbal or physical)",v
གོམས་གཤིས་,"personal habit, being accustomed, habituated",n
གཤིས་ཀ་,"character, personality",n
བཟོད་པ་ཆེན་པོ་,"patient, tolerant",adj
ཞེ་སྡང་ལངས་པ་,"to get angry, to give rise to hatred   (ཐ་མི་དད་པ་) // ཁོང་ཁྲོ་ལངས་པ། ཁོང་ཁྲོ་ཟ་བ། འཚིག་པ་ཟ་བ། རླུང་ལངས་པ།",v
བློ་ཕམ་པ་,"to be disappointed, to become disappointed   (ཐ་མི་དད་པ་)",v
མ་རབས་,"badly behaved, malicious, pertaining to lower classes of beings",adj
ཉམ་ཆུང་,"humble, timid, innocent",adj
བློས་འཁེལ་པོ་,"reliable, trustworthy",adj
སེམས་ཤུགས་ཆེན་པོ་,"enthusiastic, with great drive and energy",adj
བློ་ཁོག་ཆུང་ཆུང་,coward,adj
དད་པ་ཆེན་པོ་,"faithful, devoted, with great faith",adj
ཡ་རབས་,"(1) excellent, well behaved, virtuous, gentle, respectful(2) nobles, high class",adj
ལག་པ་དམ་པོ་,"stingy, miserly (lit. tight-fisted) // སེར་སྣ་ཚོ་པོ་",adj
སེམས་པ་སྐྱོ་པོ་,sad,adj
ཧམ་པ་ཆེན་པོ་,"greedy, exaggerating, very dishonest, pushy",adj
ཕན་སེམས་,a mind which wishes to benefit others,n
སེམས་པ་བཟང་པོ་,"kind hearted, kind, friendly",adj
ཆོབ་ཚ་པོ་,"funny, someone who likes to joke around",adj
རླུང་ཚ་པོ་,"gets angry very easily, short tempered",adj
དོ་སྣང་ཆེན་པོ་,"being interested, having great interest",adj
འདོད་ཆགས་ལངས་པ་,"to give rise to attachment, to have desire   (ཐ་མི་དད་པ་)",v
དོན་དག་,"meaning, purpose",n
ངོ་ཚ་ཆེན་པོ་,"shy, timid, gets embarrassed easily",adj
སྤྱོད་པ་,"behaviour, conduct, way of conducting oneself",n
ཁྱད་མཚར་པོ་,"strange, odd, unusual",adj
སེམས་པ་སྐྱིད་པོ་,"happy, glad // སེམས་པ་དགའ་པོ་",adj
ང་རྒྱལ་ཆེན་པོ་,"proud, haughty, arrogant",adj
ལེ་ལོ་ཚ་པོ་,lazy,adj
ལྷོད་ལྷོད་,"relaxed, leisurely","adv, adj"
དྲུང་ཡིག་,secretary,n
ཁོང་ངོ་ཤེས་ནས་ག་ཚོད་ཕྱིན་སོང་་,How long have you known him / her?,p
དེས་ང་ལ་སེམས་ལ་ལྷོད་ལྷོད་བཟོས་སོང་་,That makes me feel better.,p
མི་སྐྱ་,lay person,
སྐྱེ་དངོས་རིག་པ་,biology,n
མངའ་སྡེ་,"province (kham, amdo, u-tsang)",n
སྐད་ཅོར་ཚ་པོ་,"loud, rowdy",adj
བསམ་བློའི་བཅོས་ཐབས་,psychotherapy,n
རྩི་ཤིང་དང་སྲོག་ཆགས་ཀྱི་ཚན་རིག,biology,n
རྒྱུག་ཆུ་,"stream, creek",n
ཁོང་ག་པར་ཐུག་སོང་།,Where did you meet him / her? // ཁོང་ག་པར་མཇལ་སོང་།,p
ངའི་ལྟ་ཚུལ་ལ་,"in my opinion, from my viewpoint",
ལྟ་ཚུལ་,opinion,n
སྡེབ་ལ་,all together,
བསད་པ་,"to kill, killed",v
སྲོག་ཤོར་,die,v
ཁོག་པ་,"inside abdomen, guts, trunk of body",n
གསོལ་ཀྲུམ་,meat (h),n
རུ་ཁག,team,n
སྤོ་ལོ་,ball,n
གད་བདར་བྱེད།,"clean, wipe down",v
གད་རྒྱག,to sweep // གད་འཕྱག,v
ཆུ་རྐྱལ་ས་,swimming pool,n
འབག་བཙོག,pollution,n
དབྱིངས་ཚ་པོ་,stylish,adj
སྒྲིག,"prepare, arrange",
བསྐྱར་གསོ་བྱེད་པ་,"fix, repair, renew, restore",v
ཇ་སྤག་ཆུང་,a brick of Tibetan tea,n
ཞིབ་འཇུག,"research, study",n
སྐྱེ་དངོས་ཚན་རིག,biology,n
ལམ་སྟོན་བྱེད་པ་,to guide,v
སེམས་འཚབ་གི་འདུག,to feel nervous,v
སྦོང་བ་,"to (be) soaked, to (be) drench",v
གནམ་དྭངས་གི་འདུག,sky to clear,p
གནམ་རབ་རིབ་,haze sky,adj
འཁྲུག་པོ་,"lively, active",adj
འཆར་གཞི་འདིངས་,to make plans // འཆར་གཞི་བཟོ།,v
དོ་དགོང་་,tonight,adv
སང་དགོང་་,tomorrow night,adv
རྟོག་བཅོས་,fiction,n
ལྗིད་ཁོག་ཚ་པོ་,heavy,adj
ཡང་པོ་,light,adj
ཆད་པ་,"fine, punishment // ཉེས་ཆད།",n
རྡུང་པ་,"beat, hit",v
འཐག་པ་,grind finely (with machine),v
འཆར་འགོད་,"plan, schedule (as in teaching schedule)",n
ཁར་ཐུག,"straigh, upright, direct(often pronounced khup-tuk) // ཁ་ཐུག ཤར་རྒྱག ཐད་གར",adv
ཚུར་ཤོག,Come here!,p
གློག་བཞུ་,electric light,n
བཞུ་མར་,"light, lamp",n
མར་ལེན་,"to receive, to acccept",v
ཁ་ཐོར་,"scattered, dispersed",adj
ནུས་ཤུགས་,energy,n
འབྱུང་བ་བཞི་,four elements,n
བསླུ་བ་,to deceive,v
འཛུམ་དམུལ།,"smile, laugh",n
རྒྱལ་རབས་,history // སློ་བརྒྱུད་,n
ཅ་ཟིང་པོ་,"annoying, frustrating",adj
སྒེའུ་ཁུང་་,window,n
རྨང་གཞི་,foundation,n
མི་རིགས་རྩ་མེད་བཏང་,cut the root of the lineage,v
བརྟན་པོ་,stable,adj
འདང་ངེས་,enough,adj
འབྱུང་བ་བཞི་,the four elements,n
སྐུ་གཤེགས་པ་,to die (H),v
བསླུ་བ་,deceive,v
བསླུ་ཁྲིད་བྱེད་པ་,to deceive,v
བདེན་པ་,truth,n
འཛུམ་དམུལ་བྱེད་,"smile, laugh",v
དཔལ་འབྱོར་,"prosperity, wealth, ཕྱུག་པོ།",n
དྲ་ལམ་,WIFI,n
དྲ་བ་,net,n
བཞེངས་པའི་རྗེས་ལ་,after getting up (h),
ཧ་ལམ་,"about, almost, approximately, mostly, for the most part, maybe",adv
འདོད་རྔམ་ཅན་,greedy,adj
མཉེས་པོ་,tasty (H),adj
ད་གིན་ཇ་བཏུངས་ཚར་ཡིན་,I just had tea.,p
རྩེད་འགྲན་,tournament,n
རྔམ་པ།,"exciting, excited",adj
ཞ་ལ་,floor,n
ཐལ་བ།,"dust, sand, powder",n
ཆུ་མིག,spring,n
ལྗིད་ཚད་,weight,n
སློབ་གྲྭའི་རྩེད་མོ་རུ་ཁག,school team,n
སློབ་ཡོན་,scholarship,n
གཙུག་ལག་རབ་འབྱམས་པ་,graduate school,n
ཧམ་སྤུ་,mold,n
གཞི་རིམ་སློབ་གྲྭ,primary school,n
མཐོ་རིམ་སློབ་གྲྭ་,"college, university",n
སློབ་གྲྭ་ཆེན་མོ་,"college, university",n
རྟོག་སྒྲུང་,fiction,n
ཚོགས་འདུ་,"meeting, gathering",n
སྒྱུ་རྩལ,art // བཟོ་རིག་ལག་རྩལ།,n
མདང་དགོང་་,last night,adv
རྟོག་བཅོས་ཚན་རིག,science fiction,n
གྲབས་,"just about to, soon, going to",adv
སྐྱབས་མགོན་རིན་པོ་ཆེ་,HHDL (guardian / protector rinpoche),n
སྒམ་ཤོག,box,n
བཀའ་སློབ་,"advice, teaching (H)",n
བཀའ་སློབ་གནང་་,"to teach, to advise",v
ཚབ་ཚབ་བྱེད་པ་,to be nervous,v
དགོངས་པ་ཞུ་བ་,"to excuse oneself, to resign",v
རྡར་བ་,"grind by hand, roughly",v
རིན་ཐང་ཆེན་པོ་,"expensive, valuable",adj
ཉོབ་ཏོ་,"boring, annoying",adj
ཡིད་ཆེས་བརླག་པ་,to lose trust,v
ཕར་རྒྱུགས་,Go away! (not polite),p
ཡར་ལེན་,"to entrust, to deposit, to store",v
གཏན་གཏན་,"sure, certain",adj
ཁ་པར་སྒོ་རྒྱག་པ་,phone is off // ཁ་པར་ཁ་རྒྱག་པ་,
རིལ་བ་,to fall down,v
བཀའ་བཀྱོན་གནང་བ་,to scold (H),v
དགྲ་ཤ་ལེང་པ་,to take revenge,v
ཁ་སུར་,date (fruit),n
ཟས་སྣ་,ingredients,n
ཏོག་ཙམ་གཉིད་མ་འདང་པ་,a little under slept // ཏོག་ཙམ་གཉིད་མ་ལྡང་པ་,p
སྡུག་རུས་རྒྱག་པ་,"to endure, perservere, forebear // སྡུག་རུས་བྱེད་པ།",v
སྐུ་གཤེགས་པ།,to die (H) (to depart one's body) // འཆི། འགྲོང་། ཤི། དགོངས་པ་རྫོགས་པ། མྱ་ངན་ལས་འདས་པ།,v
བདེན་པ།,truth,n
རྫུན་མ་,lie(s),n
དོགས་པ་,"doubt, suspicion",n
དབྱིངས་,"very strong liking or interest, ཧ་ཅང་དགའ་པོ་",n
བཏོན་པ་,"taken out, removed from",v
དོགས་པ།,"doubt, suspicion",n
ངལ་གསོ་རྒྱག་པ་,to rest,v
ཆབ་སྲིད་,politics,n
དབྱིངས་,"(1) very strong liking or interest, ཧ་ཅང་དགའ་པོ་(2) expanse, sphere, space",n
མི་རིགས་རྩ་མེད་བཏང་,cut the root of the race / lineage,v
འཛུམ་པ།,smile,v
མངའ་སྡེ་,"province, state",n
བསུན་པོ་,"annoying, difficult",adj
གོ་སྐབས་,opportunity,n
གསར་འགྱུར་,news,n
རྨིང་གཞི་,foundation,n
འདང་ངེས་,enough,adj
གདོང་,face // ཞལ་རས་,n
འཐམ་པ་,"to hug, embrace, grasp",v
སྡུག་རུས་རྒྱབ་པ་,"to endure, persevere, have forbearance (more spoken than བཙོན་འགྲུས།) // སྡུག་རུས་བྱེད་པ་",v
བཞིན་རས་,"face, appearance (H)",n
རྩི་ཤིང་འདེབས་,"to plant plants, farming // ཤིང་འདེབས།",v
གསར་འགྱུར་,news,n
རྩི་ཤིང་འདེབས་པ་,plant plants,v
མཛད་རྗེས་,"achievement, success",n
རྫུན་མ་,lies,n
གདོང་་,face,n
སྣོད་ཆས་,"kitchen wares (plates, pots, pans, dishes, etc...)",n
འཛུམ་མདངས་་,"smile, smiling expression",n
འདོན་,"(1) recite(2) expel, cause to come out, take out",v
དཔལ་འབྱོར་,"prosperity, wealth, ཕྱུག་པོ་",n
མི་སྐྱ།,layperson,n
ཁོང་ག་དུས་ནས་ངོ་ཤེས་ཀྱི་ཡོད་,Since when have you known him/her?,p
ཞལ་རས་,face (H),n
ས་ཁུལ་,"region, area // ཆོལ་ཁ།",n
མི་ཚེ་ཆ་ཚང་,whole life // མི་ཚེ་གང་ཚང་་,n
སྐུད་མེད་དྲ་ལམ། དྲ་ལམ་,WIFI,n
གོ་རྟོགས་སད་པ་,"to become aware of, to come to understand",v
འཐམ་པ་,"hug, embrace",v
སྒེའི་ཁུང་་,window,n
ས་ཁུལ་,region,n
མི་ཚེ་གང་ཚང་,whole [human] life,n
ལོ་རྒྱུས་,history // རྒྱལ་རབས་,n
བསུན་པོ་,"annoying, frustrating",adj
གོ་རྟོགས་,"knowledge, awareness",n
རྒྱལ་རབས་,"historyreign, royal succession, dynasty, annals (of kings)",n
སྐད་ཅོར་ཚ་པོ་,"loud, rowdy",adj
ཆབ་སྲིད་,politics,n
དྲ་བ།,net,n
སྤར་,to light on fire,v
ཡས་མས་,approximately (numbers),adj
བཟའ་ཚང་,husband and wife,n
ལྷུམས་,womb // མངལ་,n
དཀའ་བ་སྤྱོད་པ་,to undergo hardships,v
མཛད་རྣམ་,"biography, hagiography // རྣན་ཐར་",n
མདོར་བསྡུས་,"in brief, concisely",adv
རྒྱལ་སྲིད་བཟུང་བ་,ruled a kingdom,v
མནའ་མ་བཞེས་པ་,to get married (H) // ཆང་ས་རྒྱག་པ་,v
རོལ་རྩེད་,"recreation, amusement",n
བཙུན་མོ་,queen (lit.),n
གཤེགས་པ་,"to go, to leave, to come (literary, esp. sutras) // ཕེབས་པ་",v
བཏུལ་བ་,(past of འདུལ་བ་) to defeat,v
སྐྱེ་རྒ་ན་འཆི་,"birth, aging, sickness, and death",n
རོལ་བ་,to enjoy oneself,v
བདུད་,"mara, demon",n
འཕོ་བ་,"to transfer, to depart (also to transfer consciousness)",v
སྔོན་འགོག་གི་ཁབ་,"vaccination, immunization // སྔོན་ཁབ་",n
འཁོར་,retinue,n
རེ་སྐུལ་ཞུ་བ་,to request,v
གདུལ་བྱ་,disciple (someone to be tamed),n
ལས་ཀྱི་འབྲེལ་བ་,karmic connection,ག་རེ་བྱས་ནས་སངས་རྒྱས་ཀྱིས་འཁོར་ལྔ་སྡེ་བཟང་པོ་ཆོས་གཟུངས་པ་རེད། སྤྱིར་གཏང་བྱས་ན་སངས་རྒྱས་དང་ཁོ་རང་ཚོ་ལ་ལས་ཀྱི་འབྲེལ་བ་ཅིག་ཡོད་རེད།
བཤད་སྲོལ་,oral tradition,n
མགོ་འཚོས་པ་,"to understand, to know // ཧ་གོ་བ་",v
གཞི་ནས་,"finally, only then, just then",adv
སྒྲ་བཤད་,etymology,n
དཔེ་ཡི་ཐོག་ནས་,"by means of an example, through an example",adv
གསལ་བཤད་,"clarification, explanation",n
ངན་སོང་གསུམ་,three lower realms,n
ཉེས་ཅན་,criminal,n
ཉེས་པ་,"fault, crime",n
སྲོག་ཐོག་གི་ཉེས་པ་,death penalty,n
ཉེས་ཆད་,"punishment, penalty // ཉེས་པ་ཆད་པ་",n
ཐག་ཉེ་རུ་འགྲོ་བ་,"to come closer, to draw closer",v
ཟག་འགྲོའོ་བྱེད་དུས་,when almost falling into,
ལམ་སང་བསླེབ་འགྲོའོ་,Almost arrived!,
རེ་བ་རྒྱག་པ་,to hope,v
སྐྱེ་བ་ལེན་པ་,to take rebirth,v
འགྲོ་བ་རིགས་དྲུག,the six classes of beings,n
གཏམ་བརྗོད་,"dialogue, talk",n
རྙོག་གྲ་བཟོ་བ་,to make trouble // རྙོག་གྲ་བླངས་བ་,v
སུན་པོ་བཟོ་བ་,to bother (someone),v
སྐད་རྒྱག་པ་,to shout,v
བརྗེ་པོ་རྒྱག་པ་,to change,v
སྐད་ཤོར་བ་,to cry out (involuntarily),v
དོ་སྣང་སྤྲད་པ་,to pay attention,v
དཀའ་ལས་སྤྲད་པ་,to give (someone) a hard time,v
བསམ་བློ་འཁོར་བ་,to have wandering thoughts (non-volitional),v
གད་མོ་བླངས་པ་,to cause laughter,v
མཁྱན་བརྩེ་ནུས་གསུམ་,"three qualities of the Buddhas mind: (1) directly realizing all phenomena, (2) loving all beings equallty, (3) having the ability to benefit all beings",n
ཐུགས་ཉེ་རིང་མེད་པར་,"without bias, without partiality, without seeing some as close and others distant",adv
གོ་བདེ་པོ་,easy to understand,adj
ཡིན་ན་ཡང་འདྲ་,no matter whether it is ...,
ཟེར་ནའང་འདྲ་,no matter if it is called ...,
སྐུ་གསུང་ཐུགས་གསུམ་,"body, speech, and mind [the three]",n
སྐྱབས་གནས་ཡང་དག་པ་,"undeceiving object of refuge, thoroughly pure object of refuge, excellent object of refuge",n
